Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Blocks,Progressive carries,Crosses,Key passes,Passes attempted
Josko Gvardiol,Manchester City,70.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Theo Hernández,AC Milan,70.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Alphonso Davies,Bayern Munich,65.0,Cluster 0: Defensive Fullback,0,-0.14807535476188277,-0.7268992656385969,14.0,81.0,22.0,27.0,1272.0
Achraf Hakimi,PSG,60.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Nuno Mendes,PSG,60.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Alejandro Balde,Barcelona,55.0,Cluster 0: Defensive Fullback,0,1.4449031636363936,-1.1729691347480147,24.0,107.0,67.0,26.0,1484.0
Destiny Udogie,Tottenham Hotspur,50.0,Cluster 0: Defensive Fullback,0,-0.052389314815481376,-2.148828171959823,40.0,54.0,19.0,16.0,1115.0
João Cancelo,Bayern Munich,45.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Piero Hincapié,Bayer Leverkusen,45.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Tariq Lamptey,Brighton,35.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Diogo Dalot,Manchester United,32.0,Cluster 0: Defensive Fullback,0,0.7749827712891652,-0.5116130402029576,22.0,62.0,66.0,26.0,1673.0
Benjamin Pavard,Bayern Munich,30.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Aaron Wan-Bissaka,Manchester United,28.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Alex Grimaldo,Benfica,28.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Pedro Porro,Tottenham,28.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Aaron Hickey,Brentford,25.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Jeremy Sarmiento,Brighton,25.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Noussair Mazraoui,Bayern Munich,25.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Alex Telles,Botafogo (RJ),22.848214285714285,Cluster 0: Defensive Fullback,0,-0.5037645523713175,-0.7518344039559093,21.645833333333332,48.958333333333336,21.0,24.666666666666668,1222.8541666666667
Christian Günter,Freiburg,22.848214285714285,Cluster 0: Defensive Fullback,0,0.16361904229060104,1.2498480001734744,24.0,19.0,121.0,28.0,1143.0
Fran Garcia,Real Madrid,22.848214285714285,Cluster 0: Defensive Fullback,0,1.0663812550066885,-1.0348524745207335,27.0,78.0,66.0,24.0,1551.0
Hans Hateboer,Rennes,22.848214285714285,Cluster 0: Defensive Fullback,0,-1.4001032389193266,-0.37396712845719277,19.0,28.0,33.0,15.0,1128.0
José Luis Gayà,Valencia,22.848214285714285,Cluster 0: Defensive Fullback,0,-0.7683843756251751,0.9503360632097065,16.0,29.0,84.0,24.0,996.0
João Cancelo,Al-Hilal,22.848214285714285,Cluster 0: Defensive Fullback,0,0.3133717856194653,0.46768612152001837,21.645833333333332,48.958333333333336,101.0,24.666666666666668,1222.8541666666667
Kelvin Leerdam,Unknown,22.848214285714285,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Leonardo Spinazzola,Napoli,22.848214285714285,Cluster 0: Defensive Fullback,0,-0.24759476009496173,0.21000996303626837,12.0,83.0,65.0,26.0,895.0
Lucas Digne,Aston Villa,22.848214285714285,Cluster 0: Defensive Fullback,0,0.8796283482902746,1.7290859732329424,23.0,23.0,140.0,36.0,1277.0
Neco Williams,Nottingham Forest,22.848214285714285,Cluster 0: Defensive Fullback,0,0.783196489168147,-1.7971946005775563,42.0,68.0,59.0,18.0,1116.0
Noussair Mazraoui,Manchester United,22.848214285714285,Cluster 0: Defensive Fullback,0,0.5272476563045091,-1.946232684181849,36.0,42.0,23.0,20.0,1781.0
Nuno Mendes,Paris Saint-Germain,22.848214285714285,Cluster 0: Defensive Fullback,0,0.7490960409911667,-0.4663152094446269,25.0,58.0,60.0,30.0,1488.0
Nuno Tavares,Lazio,22.848214285714285,Cluster 0: Defensive Fullback,0,1.5414594372969543,0.5444681599415833,21.0,98.0,126.0,33.0,1042.0
Owen Beck,Liverpool,22.848214285714285,Cluster 0: Defensive Fullback,0,-0.22111897149988805,-0.5033182700429726,35.0,32.0,72.0,19.0,926.0
Piero Hincapié,Arsenal,22.848214285714285,Cluster 0: Defensive Fullback,0,1.2417314503589512,-2.4519579558946294,40.0,52.0,37.0,16.0,2110.0
Quentin Merlin,Rennes,22.848214285714285,Cluster 0: Defensive Fullback,0,-0.057769759965436804,0.6648939470662442,20.0,40.0,95.0,25.0,1145.0
Raphaël Guerreiro,Bayern Munich,22.848214285714285,Cluster 0: Defensive Fullback,0,-0.9664795468143865,0.21635350884282678,9.0,39.0,27.0,27.0,1359.0
Zeno Debast,Sporting CP,22.848214285714285,Cluster 0: Defensive Fullback,0,-0.15787848712741331,-0.13020686718121136,21.0,24.0,51.0,25.0,1648.0
Emerson Royal,Tottenham Hotspur,22.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
José Gayà,Valencia,22.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Nuno Tavares,Marseille,22.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Fran García,Real Madrid,20.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Sergiño Dest,PSV,20.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Borna Sosa,Stuttgart,18.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Dodo,Shakhtar Donetsk,18.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Matías Viña,Atletico Madrid,18.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Neco Williams,Fulham,18.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Raphaël Guerreiro,Borussia Dortmund,18.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Rayan Aït-Nouri,Wolves,14.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Sergio Gómez,Girona / Man City,12.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Kieran Trippier,Newcastle United,12.0,Cluster 0: Defensive Fullback,0,-0.8690613550433816,1.0264752564161563,11.0,26.0,82.0,22.0,1256.0
Robin Gosens,Union Berlin,12.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Kyle Walker,Manchester City,10.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Alex Moreno,Aston Villa,9.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Bryan Zaragoza,Granada,8.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Hans Hateboer,Atalanta,8.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Lucas Digne,Brest,8.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Pablo Maffeo,Mallorca,8.0,Cluster 0: Defensive Fullback,0,0.6856446679343569,0.0985789555628847,32.0,46.0,96.0,29.0,1039.0
Sergi Roberto,Barcelona,7.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Alex Telles,Galatasaray,7.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Christian Gunter,Freiburg,6.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Quentin Merlin,Nantes,6.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Juan Miranda,Betis,6.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Leonardo Spinazzola,Roma,6.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Samuel Iling-Junior,Tottenham,6.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Mattia De Sciglio,Lazio,5.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Zeno Debast,Anderlecht,4.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Kelvin Leerdam,Real Salt Lake,4.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Jordi Alba,Inter Miami,3.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Owen Beck,Leeds United,3.5,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Ricardo Rodríguez,Torino,3.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Octavio Ontivero,Lanús,2.0,Cluster 0: Defensive Fullback,0,4.437132367453471e-17,-5.160864207572049e-17,21.645833333333332,48.958333333333336,70.32,24.666666666666668,1222.8541666666667
Reece James,Chelsea,65.0,Cluster 1: Inverted / Hybrid Fullback,1,-2.3916733124886638,0.4133350326727496,14.0,7.0,43.0,11.0,854.0
Benjamin Pavard,Marseille,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-2.3074220946452533,-0.5636035817833781,16.0,13.0,11.0,8.0,1150.0
Borna Sosa,Crystal Palace,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-2.4473142466813504,0.6054226123348957,13.0,13.0,51.0,11.0,686.0
Emerson,Flamengo,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-1.9052159957561283,0.3643556754274471,13.0,23.0,45.0,15.0,909.0
Jeremy Sarmiento,Cremonese,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-2.564768132481043,-0.23288560003161043,13.0,47.0,17.0,11.0,373.0
Kyle Walker,Burnley,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-2.8547320735459953,-0.16596847771478282,13.0,12.0,14.0,7.0,826.0
Mattia De Sciglio,Unknown,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-3.989183560434864,0.20574238838362302,10.0,4.0,7.0,3.0,299.0
Ricardo Rodríguez,Real Betis,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-2.961859928807242,-0.032639153561396815,10.0,19.0,15.0,7.0,744.0
Robin Gosens,Fiorentina,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-4.918248061657298,0.7676049546524851,1.0,1.0,1.0,1.0,42.0
Samuel Iling-Junior,West Bromwich Albion,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-4.715339338610396,0.8019436254623961,1.0,5.0,9.0,1.0,87.0
Sergi Roberto,Como,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-3.2818114915921384,0.557861288873066,7.0,10.0,6.0,15.0,506.0
Sergiño Dest,PSV Eindhoven,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-4.169253694302523,0.5933394549307209,2.0,15.0,9.0,4.0,256.0
Tariq Lamptey,Fiorentina,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-2.8302376540944785,-0.1849813940194764,15.0,32.0,28.0,5.0,413.0
Álex Moreno,Girona,22.848214285714285,Cluster 1: Inverted / Hybrid Fullback,1,-3.071698740194427,0.09254183140389645,11.0,26.0,19.0,8.0,428.0
Timothy Castagne,Fulham,10.0,Cluster 1: Inverted / Hybrid Fullback,1,-2.203974447947526,-0.01512138355061279,15.0,17.0,37.0,9.0,953.0
Andrew Robertson,Liverpool,35.0,Cluster 2: Attacking Wingback,2,1.9095177766950402,1.7357928640926148,10.0,64.0,147.0,40.0,1885.0
Milos Kerkez,Liverpool,25.0,Cluster 2: Attacking Wingback,2,3.593539178282413,-0.6933934441982033,38.0,106.0,142.0,35.0,1776.0
Aaron Wan-Bissaka,West Ham United,22.848214285714285,Cluster 2: Attacking Wingback,2,2.8989206389548956,-1.7941513478533981,37.0,110.0,76.0,33.0,1815.0
Achraf Hakimi,Paris Saint-Germain,22.848214285714285,Cluster 2: Attacking Wingback,2,3.177215106475975,-0.40121787200304543,25.0,93.0,80.0,50.0,2140.0
Dodô,Fiorentina,22.848214285714285,Cluster 2: Attacking Wingback,2,3.473684638310515,-0.23162265243167043,22.0,143.0,144.0,36.0,1728.0
Joško Gvardiol,Manchester City,22.848214285714285,Cluster 2: Attacking Wingback,2,2.997787449140849,-3.4132639813575127,42.0,91.0,22.0,26.0,2721.0
Juan Miranda,Bologna,22.848214285714285,Cluster 2: Attacking Wingback,2,3.2993665402567753,3.1139131892723073,21.0,34.0,211.0,57.0,1877.0
Pedro Porro,Tottenham Hotspur,22.848214285714285,Cluster 2: Attacking Wingback,2,4.808844933922433,1.0818167725795114,44.0,65.0,196.0,57.0,1892.0
Rayan Aït-Nouri,Manchester City,22.848214285714285,Cluster 2: Attacking Wingback,2,3.4139822053059627,-0.990453234949947,42.0,89.0,94.0,46.0,1721.0
Sergio Gómez,Real Sociedad,22.848214285714285,Cluster 2: Attacking Wingback,2,4.219984952662897,2.188490971160892,44.0,43.0,231.0,56.0,1439.0
Theo Hernández,Al-Hilal,22.848214285714285,Cluster 2: Attacking Wingback,2,2.7874117540436876,0.2745982473622228,25.0,93.0,111.0,47.0,1639.0
Álex Grimaldo,Leverkusen,22.848214285714285,Cluster 2: Attacking Wingback,2,5.253835208039866,2.780996472650177,22.0,86.0,217.0,73.0,2094.0
