Name,Club,Position,Metric,Value
Ángel Di María,Rosario Central,CAM_Winger,Goals,8
Ángel Di María,Rosario Central,CAM_Winger,Assists,5
Ángel Di María,Rosario Central,CAM_Winger,NPG,3
Ángel Di María,Rosario Central,CAM_Winger,XG,8.9
Ángel Di María,Rosario Central,CAM_Winger,XA,5.2
Ángel Di María,Rosario Central,CAM_Winger,Progressive passes,160
Ángel Di María,Rosario Central,CAM_Winger,Progressive carries,70
Ángel Di María,Rosario Central,CAM_Winger,Passes completed,684
Ángel Di María,Rosario Central,CAM_Winger,Passes attempted,970
Ángel Di María,Rosario Central,CAM_Winger,Key passes,45
Ángel Di María,Rosario Central,CAM_Winger,Through balls,19
Ángel Di María,Rosario Central,CAM_Winger,Switches,21
Ángel Di María,Rosario Central,CAM_Winger,Crosses,133
Ángel Di María,Rosario Central,CAM_Winger,Corners,60
Ángel Di María,Rosario Central,CAM_Winger,Shot creating Actions,90
Ángel Di María,Rosario Central,CAM_Winger,SCA Take Ons,8
Ángel Di María,Rosario Central,CAM_Winger,GCA Shots,1
Ángel Di María,Rosario Central,CAM_Winger,Goal Creating Actions,12
Ángel Di María,Rosario Central,CAM_Winger,Tackles,16
Ángel Di María,Rosario Central,CAM_Winger,Dribblers tackles,NA
Ángel Di María,Rosario Central,CAM_Winger,Shots blocked,0
Ángel Di María,Rosario Central,CAM_Winger,Blocks,13
Ángel Di María,Rosario Central,CAM_Winger,Interceptions,8
Ángel Di María,Rosario Central,CAM_Winger,Passes Recieved,905
Ángel Di María,Rosario Central,CAM_Winger,Offsides,10
Ángel Di María,Rosario Central,CAM_Winger,Ball recoveries,76
Ángel Di María,Rosario Central,CAM_Winger,Errors,0
Ángel Di María,Rosario Central,CAM_Winger,Touches,1203
Ángel Di María,Rosario Central,CAM_Winger,Miscontrols,38
Ángel Di María,Rosario Central,CAM_Winger,Dispossessed,18
Ángel Di María,Rosario Central,CAM_Winger,Yellow Cards,5
Ángel Di María,Rosario Central,CAM_Winger,Red Cards,0
Ángel Di María,Rosario Central,CAM_Winger,Fouls committed,17
Ángel Di María,Rosario Central,CAM_Winger,Aerials Won,0
Adrien Rabiot,Milan,CAM_Winger,Goals,9
Adrien Rabiot,Milan,CAM_Winger,Assists,4
Adrien Rabiot,Milan,CAM_Winger,NPG,9
Adrien Rabiot,Milan,CAM_Winger,XG,7.3
Adrien Rabiot,Milan,CAM_Winger,XA,3.8
Adrien Rabiot,Milan,CAM_Winger,Progressive passes,168
Adrien Rabiot,Milan,CAM_Winger,Progressive carries,79
Adrien Rabiot,Milan,CAM_Winger,Passes completed,1309
Adrien Rabiot,Milan,CAM_Winger,Passes attempted,1543
Adrien Rabiot,Milan,CAM_Winger,Key passes,28
Adrien Rabiot,Milan,CAM_Winger,Through balls,6
Adrien Rabiot,Milan,CAM_Winger,Switches,0
Adrien Rabiot,Milan,CAM_Winger,Crosses,40
Adrien Rabiot,Milan,CAM_Winger,Corners,0
Adrien Rabiot,Milan,CAM_Winger,Shot creating Actions,66
Adrien Rabiot,Milan,CAM_Winger,SCA Take Ons,5
Adrien Rabiot,Milan,CAM_Winger,GCA Shots,0
Adrien Rabiot,Milan,CAM_Winger,Goal Creating Actions,11
Adrien Rabiot,Milan,CAM_Winger,Tackles,49
Adrien Rabiot,Milan,CAM_Winger,Dribblers tackles,NA
Adrien Rabiot,Milan,CAM_Winger,Shots blocked,2
Adrien Rabiot,Milan,CAM_Winger,Blocks,21
Adrien Rabiot,Milan,CAM_Winger,Interceptions,21
Adrien Rabiot,Milan,CAM_Winger,Passes Recieved,1445
Adrien Rabiot,Milan,CAM_Winger,Offsides,12
Adrien Rabiot,Milan,CAM_Winger,Ball recoveries,124
Adrien Rabiot,Milan,CAM_Winger,Errors,0
Adrien Rabiot,Milan,CAM_Winger,Touches,1822
Adrien Rabiot,Milan,CAM_Winger,Miscontrols,52
Adrien Rabiot,Milan,CAM_Winger,Dispossessed,31
Adrien Rabiot,Milan,CAM_Winger,Yellow Cards,4
Adrien Rabiot,Milan,CAM_Winger,Red Cards,0
Adrien Rabiot,Milan,CAM_Winger,Fouls committed,53
Adrien Rabiot,Milan,CAM_Winger,Aerials Won,34
Arda Güler,Real Madrid,CAM_Winger,Goals,3
Arda Güler,Real Madrid,CAM_Winger,Assists,4
Arda Güler,Real Madrid,CAM_Winger,NPG,3
Arda Güler,Real Madrid,CAM_Winger,XG,3.3
Arda Güler,Real Madrid,CAM_Winger,XA,4.5
Arda Güler,Real Madrid,CAM_Winger,Progressive passes,93
Arda Güler,Real Madrid,CAM_Winger,Progressive carries,34
Arda Güler,Real Madrid,CAM_Winger,Passes completed,763
Arda Güler,Real Madrid,CAM_Winger,Passes attempted,886
Arda Güler,Real Madrid,CAM_Winger,Key passes,40
Arda Güler,Real Madrid,CAM_Winger,Through balls,10
Arda Güler,Real Madrid,CAM_Winger,Switches,8
Arda Güler,Real Madrid,CAM_Winger,Crosses,57
Arda Güler,Real Madrid,CAM_Winger,Corners,47
Arda Güler,Real Madrid,CAM_Winger,Shot creating Actions,79
Arda Güler,Real Madrid,CAM_Winger,SCA Take Ons,8
Arda Güler,Real Madrid,CAM_Winger,GCA Shots,2
Arda Güler,Real Madrid,CAM_Winger,Goal Creating Actions,11
Arda Güler,Real Madrid,CAM_Winger,Tackles,30
Arda Güler,Real Madrid,CAM_Winger,Dribblers tackles,NA
Arda Güler,Real Madrid,CAM_Winger,Shots blocked,0
Arda Güler,Real Madrid,CAM_Winger,Blocks,18
Arda Güler,Real Madrid,CAM_Winger,Interceptions,7
Arda Güler,Real Madrid,CAM_Winger,Passes Recieved,808
Arda Güler,Real Madrid,CAM_Winger,Offsides,4
Arda Güler,Real Madrid,CAM_Winger,Ball recoveries,56
Arda Güler,Real Madrid,CAM_Winger,Errors,0
Arda Güler,Real Madrid,CAM_Winger,Touches,1058
Arda Güler,Real Madrid,CAM_Winger,Miscontrols,23
Arda Güler,Real Madrid,CAM_Winger,Dispossessed,9
Arda Güler,Real Madrid,CAM_Winger,Yellow Cards,1
Arda Güler,Real Madrid,CAM_Winger,Red Cards,0
Arda Güler,Real Madrid,CAM_Winger,Fouls committed,15
Arda Güler,Real Madrid,CAM_Winger,Aerials Won,7
Bernardo Silva,Manchester City,CAM_Winger,Goals,4
Bernardo Silva,Manchester City,CAM_Winger,Assists,4
Bernardo Silva,Manchester City,CAM_Winger,NPG,4
Bernardo Silva,Manchester City,CAM_Winger,XG,3.9
Bernardo Silva,Manchester City,CAM_Winger,XA,5.1
Bernardo Silva,Manchester City,CAM_Winger,Progressive passes,134
Bernardo Silva,Manchester City,CAM_Winger,Progressive carries,101
Bernardo Silva,Manchester City,CAM_Winger,Passes completed,1547
Bernardo Silva,Manchester City,CAM_Winger,Passes attempted,1783
Bernardo Silva,Manchester City,CAM_Winger,Key passes,53
Bernardo Silva,Manchester City,CAM_Winger,Through balls,4
Bernardo Silva,Manchester City,CAM_Winger,Switches,6
Bernardo Silva,Manchester City,CAM_Winger,Crosses,60
Bernardo Silva,Manchester City,CAM_Winger,Corners,16
Bernardo Silva,Manchester City,CAM_Winger,Shot creating Actions,92
Bernardo Silva,Manchester City,CAM_Winger,SCA Take Ons,4
Bernardo Silva,Manchester City,CAM_Winger,GCA Shots,0
Bernardo Silva,Manchester City,CAM_Winger,Goal Creating Actions,8
Bernardo Silva,Manchester City,CAM_Winger,Tackles,56
Bernardo Silva,Manchester City,CAM_Winger,Dribblers tackles,NA
Bernardo Silva,Manchester City,CAM_Winger,Shots blocked,7
Bernardo Silva,Manchester City,CAM_Winger,Blocks,36
Bernardo Silva,Manchester City,CAM_Winger,Interceptions,23
Bernardo Silva,Manchester City,CAM_Winger,Passes Recieved,1518
Bernardo Silva,Manchester City,CAM_Winger,Offsides,3
Bernardo Silva,Manchester City,CAM_Winger,Ball recoveries,107
Bernardo Silva,Manchester City,CAM_Winger,Errors,3
Bernardo Silva,Manchester City,CAM_Winger,Touches,2054
Bernardo Silva,Manchester City,CAM_Winger,Miscontrols,25
Bernardo Silva,Manchester City,CAM_Winger,Dispossessed,34
Bernardo Silva,Manchester City,CAM_Winger,Yellow Cards,7
Bernardo Silva,Manchester City,CAM_Winger,Red Cards,0
Bernardo Silva,Manchester City,CAM_Winger,Fouls committed,27
Bernardo Silva,Manchester City,CAM_Winger,Aerials Won,5
Bruno Fernandes,Manchester United,CAM_Winger,Goals,8
Bruno Fernandes,Manchester United,CAM_Winger,Assists,10
Bruno Fernandes,Manchester United,CAM_Winger,NPG,5
Bruno Fernandes,Manchester United,CAM_Winger,XG,9.9
Bruno Fernandes,Manchester United,CAM_Winger,XA,8.5
Bruno Fernandes,Manchester United,CAM_Winger,Progressive passes,325
Bruno Fernandes,Manchester United,CAM_Winger,Progressive carries,77
Bruno Fernandes,Manchester United,CAM_Winger,Passes completed,1707
Bruno Fernandes,Manchester United,CAM_Winger,Passes attempted,2242
Bruno Fernandes,Manchester United,CAM_Winger,Key passes,91
Bruno Fernandes,Manchester United,CAM_Winger,Through balls,31
Bruno Fernandes,Manchester United,CAM_Winger,Switches,22
Bruno Fernandes,Manchester United,CAM_Winger,Crosses,186
Bruno Fernandes,Manchester United,CAM_Winger,Corners,91
Bruno Fernandes,Manchester United,CAM_Winger,Shot creating Actions,193
Bruno Fernandes,Manchester United,CAM_Winger,SCA Take Ons,5
Bruno Fernandes,Manchester United,CAM_Winger,GCA Shots,1
Bruno Fernandes,Manchester United,CAM_Winger,Goal Creating Actions,13
Bruno Fernandes,Manchester United,CAM_Winger,Tackles,84
Bruno Fernandes,Manchester United,CAM_Winger,Dribblers tackles,NA
Bruno Fernandes,Manchester United,CAM_Winger,Shots blocked,6
Bruno Fernandes,Manchester United,CAM_Winger,Blocks,35
Bruno Fernandes,Manchester United,CAM_Winger,Interceptions,26
Bruno Fernandes,Manchester United,CAM_Winger,Passes Recieved,1853
Bruno Fernandes,Manchester United,CAM_Winger,Offsides,2
Bruno Fernandes,Manchester United,CAM_Winger,Ball recoveries,213
Bruno Fernandes,Manchester United,CAM_Winger,Errors,3
Bruno Fernandes,Manchester United,CAM_Winger,Touches,2649
Bruno Fernandes,Manchester United,CAM_Winger,Miscontrols,43
Bruno Fernandes,Manchester United,CAM_Winger,Dispossessed,43
Bruno Fernandes,Manchester United,CAM_Winger,Yellow Cards,5
Bruno Fernandes,Manchester United,CAM_Winger,Red Cards,2
Bruno Fernandes,Manchester United,CAM_Winger,Fouls committed,32
Bruno Fernandes,Manchester United,CAM_Winger,Aerials Won,22
Cole Palmer,Chelsea,CAM_Winger,Goals,15
Cole Palmer,Chelsea,CAM_Winger,Assists,8
Cole Palmer,Chelsea,CAM_Winger,NPG,11
Cole Palmer,Chelsea,CAM_Winger,XG,17.3
Cole Palmer,Chelsea,CAM_Winger,XA,10.9
Cole Palmer,Chelsea,CAM_Winger,Progressive passes,214
Cole Palmer,Chelsea,CAM_Winger,Progressive carries,120
Cole Palmer,Chelsea,CAM_Winger,Passes completed,1140
Cole Palmer,Chelsea,CAM_Winger,Passes attempted,1480
Cole Palmer,Chelsea,CAM_Winger,Key passes,87
Cole Palmer,Chelsea,CAM_Winger,Through balls,22
Cole Palmer,Chelsea,CAM_Winger,Switches,14
Cole Palmer,Chelsea,CAM_Winger,Crosses,144
Cole Palmer,Chelsea,CAM_Winger,Corners,75
Cole Palmer,Chelsea,CAM_Winger,Shot creating Actions,202
Cole Palmer,Chelsea,CAM_Winger,SCA Take Ons,16
Cole Palmer,Chelsea,CAM_Winger,GCA Shots,1
Cole Palmer,Chelsea,CAM_Winger,Goal Creating Actions,15
Cole Palmer,Chelsea,CAM_Winger,Tackles,34
Cole Palmer,Chelsea,CAM_Winger,Dribblers tackles,NA
Cole Palmer,Chelsea,CAM_Winger,Shots blocked,1
Cole Palmer,Chelsea,CAM_Winger,Blocks,16
Cole Palmer,Chelsea,CAM_Winger,Interceptions,11
Cole Palmer,Chelsea,CAM_Winger,Passes Recieved,1366
Cole Palmer,Chelsea,CAM_Winger,Offsides,7
Cole Palmer,Chelsea,CAM_Winger,Ball recoveries,106
Cole Palmer,Chelsea,CAM_Winger,Errors,1
Cole Palmer,Chelsea,CAM_Winger,Touches,1851
Cole Palmer,Chelsea,CAM_Winger,Miscontrols,71
Cole Palmer,Chelsea,CAM_Winger,Dispossessed,37
Cole Palmer,Chelsea,CAM_Winger,Yellow Cards,7
Cole Palmer,Chelsea,CAM_Winger,Red Cards,0
Cole Palmer,Chelsea,CAM_Winger,Fouls committed,15
Cole Palmer,Chelsea,CAM_Winger,Aerials Won,2
Dani Olmo,Barcelona,CAM_Winger,Goals,10
Dani Olmo,Barcelona,CAM_Winger,Assists,3
Dani Olmo,Barcelona,CAM_Winger,NPG,8
Dani Olmo,Barcelona,CAM_Winger,XG,6.5
Dani Olmo,Barcelona,CAM_Winger,XA,3.0
Dani Olmo,Barcelona,CAM_Winger,Progressive passes,81
Dani Olmo,Barcelona,CAM_Winger,Progressive carries,33
Dani Olmo,Barcelona,CAM_Winger,Passes completed,520
Dani Olmo,Barcelona,CAM_Winger,Passes attempted,641
Dani Olmo,Barcelona,CAM_Winger,Key passes,26
Dani Olmo,Barcelona,CAM_Winger,Through balls,11
Dani Olmo,Barcelona,CAM_Winger,Switches,6
Dani Olmo,Barcelona,CAM_Winger,Crosses,21
Dani Olmo,Barcelona,CAM_Winger,Corners,11
Dani Olmo,Barcelona,CAM_Winger,Shot creating Actions,66
Dani Olmo,Barcelona,CAM_Winger,SCA Take Ons,7
Dani Olmo,Barcelona,CAM_Winger,GCA Shots,1
Dani Olmo,Barcelona,CAM_Winger,Goal Creating Actions,12
Dani Olmo,Barcelona,CAM_Winger,Tackles,16
Dani Olmo,Barcelona,CAM_Winger,Dribblers tackles,NA
Dani Olmo,Barcelona,CAM_Winger,Shots blocked,3
Dani Olmo,Barcelona,CAM_Winger,Blocks,6
Dani Olmo,Barcelona,CAM_Winger,Interceptions,3
Dani Olmo,Barcelona,CAM_Winger,Passes Recieved,662
Dani Olmo,Barcelona,CAM_Winger,Offsides,1
Dani Olmo,Barcelona,CAM_Winger,Ball recoveries,46
Dani Olmo,Barcelona,CAM_Winger,Errors,1
Dani Olmo,Barcelona,CAM_Winger,Touches,797
Dani Olmo,Barcelona,CAM_Winger,Miscontrols,35
Dani Olmo,Barcelona,CAM_Winger,Dispossessed,26
Dani Olmo,Barcelona,CAM_Winger,Yellow Cards,1
Dani Olmo,Barcelona,CAM_Winger,Red Cards,0
Dani Olmo,Barcelona,CAM_Winger,Fouls committed,21
Dani Olmo,Barcelona,CAM_Winger,Aerials Won,9
Dominik Szoboszlai,Liverpool,CAM_Winger,Goals,6
Dominik Szoboszlai,Liverpool,CAM_Winger,Assists,6
Dominik Szoboszlai,Liverpool,CAM_Winger,NPG,6
Dominik Szoboszlai,Liverpool,CAM_Winger,XG,7.3
Dominik Szoboszlai,Liverpool,CAM_Winger,XA,7.4
Dominik Szoboszlai,Liverpool,CAM_Winger,Progressive passes,131
Dominik Szoboszlai,Liverpool,CAM_Winger,Progressive carries,72
Dominik Szoboszlai,Liverpool,CAM_Winger,Passes completed,1114
Dominik Szoboszlai,Liverpool,CAM_Winger,Passes attempted,1322
Dominik Szoboszlai,Liverpool,CAM_Winger,Key passes,56
Dominik Szoboszlai,Liverpool,CAM_Winger,Through balls,5
Dominik Szoboszlai,Liverpool,CAM_Winger,Switches,14
Dominik Szoboszlai,Liverpool,CAM_Winger,Crosses,41
Dominik Szoboszlai,Liverpool,CAM_Winger,Corners,17
Dominik Szoboszlai,Liverpool,CAM_Winger,Shot creating Actions,119
Dominik Szoboszlai,Liverpool,CAM_Winger,SCA Take Ons,5
Dominik Szoboszlai,Liverpool,CAM_Winger,GCA Shots,3
Dominik Szoboszlai,Liverpool,CAM_Winger,Goal Creating Actions,16
Dominik Szoboszlai,Liverpool,CAM_Winger,Tackles,38
Dominik Szoboszlai,Liverpool,CAM_Winger,Dribblers tackles,NA
Dominik Szoboszlai,Liverpool,CAM_Winger,Shots blocked,5
Dominik Szoboszlai,Liverpool,CAM_Winger,Blocks,39
Dominik Szoboszlai,Liverpool,CAM_Winger,Interceptions,9
Dominik Szoboszlai,Liverpool,CAM_Winger,Passes Recieved,1073
Dominik Szoboszlai,Liverpool,CAM_Winger,Offsides,4
Dominik Szoboszlai,Liverpool,CAM_Winger,Ball recoveries,133
Dominik Szoboszlai,Liverpool,CAM_Winger,Errors,2
Dominik Szoboszlai,Liverpool,CAM_Winger,Touches,1584
Dominik Szoboszlai,Liverpool,CAM_Winger,Miscontrols,37
Dominik Szoboszlai,Liverpool,CAM_Winger,Dispossessed,23
Dominik Szoboszlai,Liverpool,CAM_Winger,Yellow Cards,6
Dominik Szoboszlai,Liverpool,CAM_Winger,Red Cards,0
Dominik Szoboszlai,Liverpool,CAM_Winger,Fouls committed,44
Dominik Szoboszlai,Liverpool,CAM_Winger,Aerials Won,19
Eberechi Eze,Arsenal,CAM_Winger,Goals,8
Eberechi Eze,Arsenal,CAM_Winger,Assists,8
Eberechi Eze,Arsenal,CAM_Winger,NPG,7
Eberechi Eze,Arsenal,CAM_Winger,XG,10.5
Eberechi Eze,Arsenal,CAM_Winger,XA,6.2
Eberechi Eze,Arsenal,CAM_Winger,Progressive passes,97
Eberechi Eze,Arsenal,CAM_Winger,Progressive carries,69
